S34,O18,Camp
8.4,7.1,Dec
9.2,11.6,Dec
6.8,6.9,Dec
7.2,5.3,Dec
11,8,Dec
8.3,5.6,Dec
7.8,5.8,Dec
9.5,6,Dec
13.4,6.7,Dec
11,8.5,Dec
4.8,11.5,Dec
8.8,9,Dec
