S34,O18,Camp
7.7,5.4,May
9.5,12.1,May
7.8,12.5,May
7.1,11,May
11.1,12.2,May
13.3,14.3,May
19.1,11.5,May
8.9,7.6,May
11.7,9.7,May
9.4,7.7,May
8.1,7.6,May
11.5,6.9,May
