S34,O18,Camp
11.7,7.3,Aug
10.1,9.9,Aug
10.6,7.5,Aug
8.3,4.6,Aug
12,9.7,Aug
11.2,6.1,Aug
15.6,7.2,Aug
7.8,5.5,Aug
13.3,9.7,Aug
12.4,7.4,Aug
11.2,6.2,Aug
11.7,6.4,Aug
