ID,Type,Reach,River,S34,O18_jz,O18_gy,D,dexcess,T,pH,TDS,DO,K,Ca,Na,Mg,Cl,SO4,NO3,HCO3_mgL_tit,HCO3_mmolL_tit
SYH-33,SW,Upper reaches,Ying River,10.1,6,-7.5,-53,6.7,5.8,8.32,589,17.3,14.3,67.54,150.01,34.52,138.47,137.63,17.87,316.3314949,5.185762212
SYH-34,SW,Upper reaches,Ying River,9.4,6.139794872,-6.9,-48,7.4,6,8.73,532,14.44,11.05,84.56,109.09,32.26,122.99,127.4,42.18,271.5606801,4.451814428
SYH-35,SW,Upper reaches,Ying River,9.9,5.525769231,-6.4,-44,6.4,5.7,8.2,286,17.43,7.7,59.87,40.7,19.39,39.91,77.65,6.14,187.1566849,3.068142376
SYH-36,SW,Upper reaches,Ying River,9.4,3.740487179,-7,-45,10.3,7,8.03,152,9.49,2.05,47.61,7.74,9.37,8,25.97,4.06,139.450079,2.286066868
SYH-37,SW,Upper reaches,Ying River,16.1,8.526525641,-6.4,-47,3.7,5.5,7.52,356,5.42,1.45,112.25,21.58,21.66,41.42,57,4.25,314.8635993,5.16169835
SYH-38,SW,Upper reaches,Jialu River,8.7,6.170794872,-8,-56,8.3,6.6,8.25,445,16.04,10.57,68.15,89.67,24.25,95.1,93.4,26.63,240.0009254,3.934441399
SYH-39,SW,Upper reaches,Jialu River,8.7,4.784288462,-8.1,-56,8.6,6.5,8.34,445,11.12,10.77,68.95,90.43,23.61,93.85,91.59,28.23,253.2119855,4.151016155
SYH-40,SW,Upper reaches,Jialu River,8.6,4.963711538,-8.1,-56,8.5,7.5,8.14,436,11.56,10.56,63.87,91.32,24.07,94.69,92.23,25.49,240.0009254,3.934441399
SYH-41,SW,Upper reaches,Jialu River,9,4.875134615,-8.3,-58,8.1,7.1,8.26,448,11.42,9.06,70.12,90.14,26.33,91.18,97.43,26.84,253.9459333,4.163048086
SYH-42,GW,GW,GW,8.4,7.1,-7.9,-53,10.1,17.1,7.52,293,3.61,0.51,79.06,39.62,15.73,16.68,4.75,8.22,366.2399442,6.003933512
SYH-43,GW,GW,GW,9.2,11.6,-9.2,-63,11.1,15.8,7.76,383,6.12,0.66,37.74,97.3,37.31,9.9,21.24,0.88,492.4789631,8.073425624
SYH-44,GW,GW,GW,6.8,6.9,-8.4,-58,9.4,18,7.09,810,2.39,1.51,219.83,46.67,69.36,156.28,77.38,57.76,661.2869534,10.84076973
SYH-45,GW,GW,GW,7.2,5.3,-9.1,-65,8.2,15.2,7.64,347,3.66,9.69,63.21,27.2,44.27,14.69,24.89,2.02,427.1576103,7.002583775
SYH-46,GW,GW,GW,11,8,-8.8,-62,8,15.7,7.47,403,5.15,7.01,99.21,32.1,35.17,37.66,32.57,0.88,452.8457827,7.423701356
SYH-47,GW,GW,GW,8.3,5.6,-8.5,-60,7.9,16.7,7.4,852,3.68,20.51,173.71,122.92,59.78,167.18,193.85,166.28,493.2129108,8.085457555
SYH-48,GW,GW,GW,7.8,5.8,-8.3,-56,10.2,13.6,7.36,1170,3.91,13.84,159.38,74.69,68.76,132.47,79.71,133.87,520.3689789,8.530638998
SYH-49,GW,GW,GW,9.5,6,-7.5,-52,7.5,15.2,7.39,525,1.56,0.79,113.32,20.29,17.69,19.9,29.59,16.14,367.7078398,6.027997374
SYH-50,GW,GW,GW,13.4,6.7,-5.9,-43,3.8,9.1,7.45,459,9.63,4.75,129.79,37.26,27.87,79.51,151.94,36.23,245.8725076,4.030696847
SYH-51,GW,GW,GW,11,8.5,-8.6,-60,9.5,14.6,7.02,547,0.14,0.81,146.88,51.21,57.7,18.95,61.21,0.93,716.3330372,11.74316454
SYH-52,GW,GW,GW,4.8,11.5,-7.9,-57,6.5,15.3,7.36,826,2.94,1.18,120.35,200.59,72.89,84.51,381.03,4.93,566.6076892,9.288650643
SYH-53,GW,GW,GW,8.8,9,-7.5,-54,6,14.5,7.44,667,1.02,0.67,97.09,133.94,64.97,130.83,190.32,2.21,456.5155216,7.483861011
