ID,Type,Reach,River,S34,O18_jz,O18_gy,D,dexcess,T,pH,TDS,DO,K,Ca,Na,Mg,Cl,NO3,SO4,HCO3_mgL_tit,HCO3_mmolL_tit
SYH-33,SW,Upper reaches,Ying River,14.5,-1.1,-8.2,-60,5.4,30.4,8.5,569,11.86,11.11,49.99,98.46,26.35,99.75,0.67,88.57,246.4116753,4.03953566
SYH-34,SW,Upper reaches,Ying River,7.5,-1.3,-8,-58,5.8,30.6,7.7,532,4.61,7.54,64.37,69.72,24.18,70.9,1.89,89.89,231.5377311,3.79570051
SYH-35,SW,Upper reaches,Ying River,10.8,2.1,-7.6,-54,6.6,28.5,7.4,298,4.86,5.78,50.07,25.67,14.17,28.88,0.76,45.74,179.4789265,2.942277483
SYH-36,SW,Upper reaches,Ying River,8.8,0.4,-8,-52,12,30.7,8.5,163,7.78,1.71,37.09,5.37,8.2,4.31,3.28,30.56,96.32165,1.154153046
SYH-37,SW,Upper reaches,Ying River,13.5,4.1,-10.9,-74,13.4,29.9,9,313,22.34,3.66,54.4,23.35,19.93,43.95,0.72,56.93,142.294066,2.332689607
SYH-38,SW,Upper reaches,Jialu River,7.7,4.1,-8.6,-61,8.3,28.7,8.5,518,7.05,10.84,48.78,77.97,21.66,82.23,16.06,86.43,189.3948892,3.10483425
SYH-39,SW,Upper reaches,Jialu River,7.5,5.3,-8.7,-61,8.4,29.2,8.3,511,6.05,10.58,46.75,77.88,21.34,80.28,15.25,85.67,191.3780818,3.137345603
SYH-40,SW,Upper reaches,Jialu River,10.5,5.2,-8.5,-60,8.4,29.8,8.3,531,9.26,10.53,52.74,74.79,21.78,84.64,22.15,80.12,202.781439,3.324285885
SYH-41,SW,Upper reaches,Jialu River,8.4,4.8,-8.5,-61,7.7,33.6,8.9,540,13.12,9.31,45.98,81.97,23.27,78.22,20.34,92.56,183.385356,3.006317311
SYH-42,GW,GW,GW,11.7,7.3,-8.4,-57,10.3,22.1,7.3,725,1.77,0.74,142.12,54.86,33.62,86.57,4.99,55.24,508.1697265,8.330651253
SYH-43,GW,GW,GW,10.1,9.9,-9.3,-63,12,20,7.8,546,2.97,0.73,41.16,92.43,40.56,12.11,1.18,27.55,501.6482986,8.2237426
SYH-44,GW,GW,GW,10.6,7.5,-10.7,-74,11.8,26.2,7.2,832,2.34,42.97,137.28,80.11,28.97,79.12,0.92,91.59,550.8098318,9.029669374
SYH-45,GW,GW,GW,8.3,4.6,-9.2,-64,9.5,18.8,7.6,485,2.68,10.71,68.23,29.17,47.41,13.42,2.81,28.87,459.0586581,7.171103547
SYH-46,GW,GW,GW,12,9.7,-8.6,-60,9,18.6,7.5,572,5.8,7.52,108.33,36.53,38.73,50.62,1.79,43.77,378.1768852,5.871752216
SYH-47,GW,GW,GW,11.2,6.1,-8.3,-62,4.3,23.7,8,444,3.4,0.93,24.54,80.45,37.21,9.51,3.08,40.78,379.747762,6.225373148
SYH-48,GW,GW,GW,15.6,7.2,-9,-63,8.5,20,6.9,1600,1.4,0.57,164.89,340.4,60.62,346.34,15.07,202.07,624.0504834,10.23033579
SYH-49,GW,GW,GW,7.8,5.5,-7.6,-52,8.1,23.9,6.9,1450,6.93,0.71,205.06,142.95,87.59,261.49,163.39,232.28,356.170292,5.838857246
SYH-50,GW,GW,GW,13.3,9.7,-6.3,-46,4.5,24.5,7.1,729,1.46,0.95,143.08,50.56,40.82,86.41,18.9,179.52,354.6653471,5.814186018
SYH-51,GW,GW,GW,12.4,7.4,-10.1,-71,9.2,27.8,7.6,502,3.49,1.47,43.53,81.96,36.7,22.49,2.04,50.4,389.2790797,6.381624257
SYH-52,GW,GW,GW,11.2,6.2,-9.8,-66,12.6,29.7,7,390,2.45,3.53,80.28,19.32,19.35,22.91,34.23,61.78,188.118112,3.083903475
SYH-53,GW,GW,GW,11.7,6.4,-7.3,-49,9.5,19.3,7,502,2.32,0.86,126.45,29.81,18.31,32,10.61,67.98,351.400424,4.843784391
