ID,Type,Reach,River,S34,O18_jz,O18_gy,D,dexcess,T,pH,TDS,DO,K,Ca,Na,Mg,Cl,SO4,NO3,HCO3_mgL_tit,HCO3_mmolL_tit
SYH-1,SW,Huai River,Huai River,9.9,8.5,-5.3,-37.34,4.7,25.2,7.8,362,8.54,8.55,52.7,89.64,23.09,92.41,91.57,8.65,219.2203065,3.593775516
SYH-2,SW,Huai River,Huai River,9.2,12.3,-4.6,-31.66,5.1,26.5,7.7,286,8.65,8.3,46.69,62.6,17.98,70.46,67.03,6.81,179.0884426,2.935876108
SYH-3,SW,Lower reaches,Lower reaches,9.7,13.2,-6,-43.22,4.8,28,7.8,443,8.8,9.95,62.89,115.85,27.88,117.22,122.73,10.86,260.8571153,4.276346152
SYH-4,SW,Lower reaches,Lower reaches,9.4,13.6,-6.2,-44.15,5.1,28.3,7.7,434,8.74,10.24,61.09,114.4,27.71,113.21,118.57,11.74,255.338984,4.185884983
SYH-5,SW,Lower reaches,Lower reaches,9.3,11.2,-6.2,-45.15,4.6,28,7.7,428,7.74,9.89,59.47,110.23,28.32,113.23,123.74,9.5,243.8010731,3.996738903
SYH-6,SW,Lower reaches,Lower reaches,10.3,6.9,-6,-43.93,4.3,27,7.9,411,7.99,9.24,62.05,101.52,26.69,108.35,129.34,10.34,227.2466793,3.725355398
SYH-7,SW,Lower reaches,Lower reaches,9.8,12.9,-5.7,-41.05,4.4,27.5,7.6,426,8.67,9.68,51.37,113.75,28.9,115.97,123.88,6.05,229.7549207,3.766474111
SYH-8,SW,Lower reaches,Lower reaches,9.5,12.3,-6.6,-46.13,6.6,28.6,7.8,411,10.28,9.5,57.24,105.08,27.12,108.54,127.58,12.52,226.745031,3.717131655
SYH-9,SW,Middle reaches,Middle reaches,10.1,12.9,-6.5,-45.41,6.3,29.1,7.7,349,7.74,9.25,48.59,84.52,23.64,92.12,99.57,11.67,196.646133,3.223707099
SYH-10,SW,Middle reaches,Middle reaches,9,6.7,-5.7,-42.06,3.7,31,7.9,428,9.27,8,51.68,125.08,27.95,110.29,135.75,0.42,245.8258812,4.029932479
SYH-11,SW,Middle reaches,Middle reaches,9.9,12.8,-6.5,-45.1,6.7,28.8,8.1,343,9.65,9.21,49.39,83.9,23.62,92.12,97.16,11.2,189.7515458,3.110681078
SYH-12,SW,Middle reaches,Middle reaches,8.6,13.5,-6.1,-42.54,6.7,29.4,7.5,306,5.98,9.44,45.15,69.45,21.45,73.99,86.12,10.56,175.7329619,2.880868228
SYH-13,SW,Middle reaches,Middle reaches,9,13.2,-6.1,-42.05,6.8,29.3,7.5,313,5.97,9.21,44.77,72.13,22.06,76.19,89.41,11.81,177.234953,2.905491034
SYH-14,SW,Middle reaches,Middle reaches,8.8,13.1,-6.1,-42.51,6.1,29.9,7.6,321,6.93,10.09,44.61,75.54,22.48,81.66,90.79,11.28,178.7369442,2.930113839
SYH-15,SW,Upper reaches,Sha River,9.5,8.7,-4.3,-31.51,3.2,26.8,8.8,512,15.7,6.92,49.3,70.41,20.54,76.92,123.77,7.87,189.7515458,3.110681078
