ID,Type,Reach,River,S34,O18_jz,O18_gy,D,dexcess,T,pH,TDS,DO,K,Ca,Na,Mg,Cl,SO4,NO3,HCO3_mgL_tit,HCO3_mmolL_tit
SYH-16,SW,Upper reaches,Ying River,10.1,10,-4.4,-31.36,3.7,26.3,9.2,508,14.8,7.38,36.65,76.5,22.62,84.25,130.92,5.52,114.6519894,1.87954081
SYH-17,SW,Upper reaches,Jialu River,9.2,15.7,-6.8,-45.21,8.9,29.5,7.5,305,5.06,11.18,37.4,76.31,20.91,83.72,85.91,0.95,159.2110595,2.610017369
SYH-18,SW,Upper reaches,Sha River,11.9,8.8,-4.4,-32.13,3.4,26.8,8.7,471,9.97,5.93,49.42,63.37,19.19,70.68,118.27,1.55,144.1911482,2.363789315
SYH-19,SW,Upper reaches,Sha River,10.8,6.3,-4.2,-30.2,3.5,27.5,8,264,7.88,2.56,35.88,18.53,15.12,27.11,20.37,0.5,164.2176966,2.692093387
SYH-20,SW,Upper reaches,Sha River,11.2,9.7,-4.1,-29.86,3.3,28.2,8.1,313,7.52,3.68,41.72,27.43,15.96,38.21,44,1.55,151.2004402,2.478695741
SYH-21,SW,Upper reaches,Sha River,11.2,10.1,-4.7,-33.77,4.2,25.6,8.4,493,10.16,4.96,62.58,56.57,16.47,61.04,107.98,3.8,180.2389353,2.954736644
SYH-22,SW,Upper reaches,Sha River,12.4,11.2,-4.2,-32.12,1.3,29.1,8.8,599,13.36,6.1,57.01,90.83,23.91,89.95,167.44,1.74,143.6904845,2.355581714
SYH-23,SW,Upper reaches,Sha River,10.4,8.9,-4.9,-34.6,4.9,25.5,7.4,513,6.11,5.68,70.57,61.5,17.25,60.87,105.51,9.24,191.7542006,3.143511485
SYH-24,SW,Upper reaches,Sha River,16.8,11.5,-5.2,-37.14,4.6,26.6,8.3,331,10.91,1.52,67.18,19.4,13.7,19.21,63.75,1.15,186.7475635,3.061435468
SYH-25,SW,Upper reaches,Sha River,12.7,8.7,-4,-31.68,0.5,29,8.4,255,9.83,1.83,41.79,21.5,14.63,20.16,40.41,0.74,145.1924757,2.380204519
SYH-26,SW,Upper reaches,Sha River,10.2,9.6,-4.3,-32.24,2.4,26.5,8.7,225,6.6,2.16,45.47,12.85,9.51,9.71,43.67,1.21,132.6758829,2.175014474
SYH-27,SW,Upper reaches,Sha River,11.1,11.2,-6.4,-42.96,8.6,24.9,8.6,169,7.48,1.47,29.43,14.3,5.22,7.98,27.9,0.77,100.6334055,1.64972796
SYH-28,SW,Upper reaches,Sha River,13.5,8.9,-4.7,-36.08,1.9,28,8.5,452,15.06,4.34,61.14,40.33,22.55,65.69,130.99,3.79,110.146016,1.805672394
SYH-29,SW,Upper reaches,Sha River,15.5,10.1,-5.2,-39.49,1.7,29.3,8.7,412,19.6,2.62,66.84,31.63,17.71,60.88,114.32,9.62,102.6360604,1.682558367
SYH-30,SW,Upper reaches,Sha River,9.5,10.1,-5,-37.96,2.2,27.9,8.6,418,9.35,3.81,61.46,37.48,18.79,53.11,121.41,2.05,131.6745555,2.158599271
SYH-31,SW,Upper reaches,Sha River,9,13.8,-6.6,-44.85,7.7,24,8.6,227,19.97,2.39,40.96,18.58,7.38,25.37,30.39,4.16,118.1566354,1.936994022
SYH-32,SW,Upper reaches,Ying River,10.2,8.9,-5.3,-38.76,3.6,26,9,587,19.71,11.53,43.99,89.72,28.18,95.79,112.56,6.96,193.2561917,3.168134291
SYH-33,SW,Upper reaches,Ying River,9.7,8.9,-5.8,-42.62,3.5,26.7,8.7,707,12.35,15.02,36.85,127.58,32.38,126.79,132.93,1.86,225.2986691,3.693420805
SYH-34,SW,Upper reaches,Ying River,8,9.3,-6,-42.9,5.1,26.3,8.3,670,8.83,13.63,60,103.34,16.26,97.62,112.19,24.39,233.8099522,3.832950036
SYH-35,SW,Upper reaches,Ying River,12.2,9.3,-5.8,-41.34,4.9,28.5,8.7,329,11.54,5.13,47.12,31.67,16.22,33.33,47.14,4.12,185.7462361,3.045020264
SYH-36,SW,Upper reaches,Ying River,8.3,12.5,-7.5,-48.24,12.1,24.3,8.7,189,10.17,1.88,40.57,5.71,8.46,4.21,25.54,3.82,134.1778741,2.19963728
SYH-37,SW,Upper reaches,Ying River,14,8.3,-3.9,-36.35,-5.1,26.6,8.7,422,9.82,4.28,64.71,34.15,21.94,56.82,60.9,3.98,193.7568555,3.176341893
SYH-38,SW,Upper reaches,Jialu River,9.3,13,-7,-50.24,5.4,29.1,8.2,333,8.93,10.86,41.36,75.94,22.29,84.65,88.87,10.36,172.228316,2.823415016
SYH-39,SW,Upper reaches,Jialu River,9.2,13.1,-7.1,-51.2,5.3,29.1,7.9,339,6.73,9.19,42.18,86.42,24.67,91.77,103.47,9.93,173.7303071,2.848037821
SYH-40,SW,Upper reaches,Jialu River,9.3,12.1,-7.1,-50.35,6.6,29.3,8,297,8.2,9.13,44.13,67.68,20.83,76.48,75.75,12.17,178.7369442,2.930113839
SYH-41,SW,Upper reaches,Jialu River,9.4,12.9,-7.1,-50.57,6.4,30.5,8.3,271,8.43,8.85,44.95,60.07,19.47,69.15,69.15,9.87,157.2084047,2.577186962
SYH-42,GW,GW,GW,7.7,5.4,-7.9,-53.3,10,19.9,6.9,263,4.34,0.52,80.8,39.74,15.72,15.7,4.01,9.68,396.5256577,6.500420618
SYH-43,GW,GW,GW,9.5,12.1,-9.4,-63.77,11.1,20.5,6.9,345,2.57,0.69,41.72,95.05,41,9.87,26.57,0.5,511.6783108,8.388169029
SYH-44,GW,GW,GW,7.8,12.5,-8.6,-59.24,9.8,19.6,6.4,692,2.24,0.65,216.3,57.19,72.4,138.03,97.37,115.04,625.8296365,10.25950224
SYH-45,GW,GW,GW,7.1,11,-9.3,-66.09,7.9,19.3,7,312,4.29,12.34,78.87,29.46,42.17,9.33,24.84,1.51,464.6159221,7.616654461
SYH-46,GW,GW,GW,11.1,12.2,-8.2,-59.83,5.6,19.3,6.8,560,2.63,2.14,146.23,96.01,41.12,155.22,147.78,0.02,409.0422504,6.705610662
SYH-47,GW,GW,GW,13.3,14.3,-7.5,-55.28,5,20.4,6.9,467,2.75,1.83,128.91,86.93,33.81,41.56,96.05,0.28,569.755301,9.340250837
SYH-48,GW,GW,GW,19.1,11.5,-9.2,-67.05,6.8,18.5,6.9,1510,0.03,0.55,144.15,289.44,54.85,273.22,141.8,0.28,639.8482203,10.48931509
SYH-49,GW,GW,GW,8.9,7.6,-7.3,-51.36,7.1,18,7.1,1390,7.84,0.72,170.03,144.54,92.58,235.99,220.12,78.63,553.4837305,9.073503779
SYH-50,GW,GW,GW,11.7,9.7,-5.4,-38.98,4.1,18.6,7.1,770,6.34,1.02,150.05,53.97,40.72,83,182.63,19.11,360.4778706,5.909473289
SYH-51,GW,GW,GW,9.4,7.7,-9,-62.71,9.1,21.3,7.3,412,15.39,0.57,91.8,22.98,18.09,9.22,9.83,5.1,365.4845077,5.991549307
SYH-52,GW,GW,GW,8.1,7.6,-7.4,-49.59,9.9,17.9,7.3,248,6.6,1.76,48.95,16.56,8.2,24.42,31.04,9.07,136.1805289,2.232467687
SYH-53,GW,GW,GW,11.5,6.9,-7.3,-50.6,7.9,18.6,7,563,2.6,0.83,133.37,30.08,19.68,36.24,68.22,15.92,371.7428041,6.094144329
